카테고리,구성품1,0단계,1단계,2단계,3단계,4단계,5단계,6단계,7단계,8단계,9단계,10단계
어빌리티 스톤,어빌리티 스톤 키트,40,50,75,100,125,150,225,300,400,600,1000
유물 각인서 랜덤,유물 각인서 랜덤,2,4,6,8,10,12,18,24,36,48,80
고대 팔찌,고대 팔찌,15,25,35,50,75,100,125,175,250,350,600
운명의 돌,정련된 운명의 돌,35,60,75,90,135,180,270,360,500,750,1200
젬 선택,희귀 질서의 젬 선택 상자,,,,,5,10,,10,,,
젬 선택,희귀 혼돈의 젬 선택 상자,,,,,5,10,,10,,,
젬 선택,희귀 젬 선택 상자,15,25,35,,,,,,,,
젬 선택,영웅 젬 선택 상자,,,,5,5,5,10,10,15,20,25
귀속 골드,귀속 골드,22500,36000,47500,60000,80000,110000,160000,225000,325000,475000,650000
귀속 보석,8레벨 보석 (4T),,,,,,,,,3,4,5
재련 보조,용암의 숨결,50,75,100,125,180,240,360,480,660,960,1600
재련 보조,빙하의 숨결,150,225,300,375,540,720,1080,1440,1980,2880,4800
